"sample_name","y","phat","method_name","dataset"
"pat-3",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-5",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-6",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-7",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-11",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-14",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-16",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-17",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-18",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-19",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-20",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-24",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-26",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-27",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-28",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-31",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-33",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-34",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-37",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-40",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-43",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-44",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-46",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-48",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-50",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
