process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-def_corr-0	556ms	193.2%	0.0%	5.1 MB	5.1 MB	92.5 MB	928ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-indep_corr-0	553ms	192.9%	0.0%	5 MB	5 MB	87.3 MB	978ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	rosmap	630ms	131.8%	0.0%	4.8 MB	4.8 MB	58.9 MB	1.2s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-def_corr-0.5	553ms	173.3%	0.0%	4.9 MB	4.9 MB	58.9 MB	935ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-indep_corr-1	564ms	188.3%	0.0%	5 MB	5 MB	89.5 MB	976ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	GSE71669	1s	164.1%	0.0%	4.9 MB	4.9 MB	89.5 MB	1.4s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-def_corr-1	595ms	132.5%	0.0%	4.4 MB	4.4 MB	16.9 MB	1.2s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-indep_corr-0.5	633ms	168.9%	0.0%	3.6 MB	3.6 MB	7.2 MB	1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	rosmap	11s	97.3%	0.3%	653 MB	653 MB	1.7 GB	11.4s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-indep_corr-0	10.8s	95.4%	0.3%	588.6 MB	588.6 MB	1.7 GB	11.2s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-indep_corr-1	11.8s	94.3%	0.3%	588.6 MB	588.6 MB	1.7 GB	12.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-def_corr-1	596ms	143.9%	0.0%	4.5 MB	4.5 MB	22.1 MB	1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-def_corr-1	10.2s	96.5%	0.3%	640.4 MB	640.4 MB	1.7 GB	10.6s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-def_corr-0.5	558ms	151.5%	0.0%	4.9 MB	4.9 MB	89.5 MB	919ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-def_corr-0	568ms	170.2%	0.0%	4.5 MB	4.5 MB	22.1 MB	968ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-def_corr-0	10.4s	98.6%	0.3%	588.5 MB	588.5 MB	1.7 GB	10.8s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-indep_corr-0.5	560ms	179.9%	0.0%	5 MB	5 MB	89.5 MB	975ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	GSE71669	13.3s	96.7%	0.4%	675.6 MB	675.6 MB	1.8 GB	13.8s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-indep_corr-0.5	10.9s	97.4%	0.3%	588.2 MB	588.2 MB	1.7 GB	11.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-indep_corr-0	560ms	186.3%	0.0%	4.9 MB	4.9 MB	59.2 MB	947ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-def_corr-0.5	11.3s	95.7%	0.3%	614.3 MB	614.3 MB	1.7 GB	11.8s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-indep_corr-1	553ms	192.3%	0.0%	5 MB	5 MB	89.5 MB	921ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_p-200_j-3_beta-30_s-39	558ms	174.5%	0.0%	4.7 MB	4.7 MB	58.7 MB	958ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-def_corr-0.5	617ms	177.5%	0.0%	5 MB	5 MB	89.5 MB	1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-def_corr-1	10.1s	97.4%	0.3%	644.9 MB	644.9 MB	1.7 GB	10.6s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-def_corr-1	592ms	186.3%	0.0%	4.8 MB	4.8 MB	58.7 MB	978ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-indep_corr-1	11.3s	98.0%	0.3%	597.3 MB	597.3 MB	1.7 GB	11.7s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-def_corr-0	9.9s	95.7%	0.3%	648.5 MB	648.5 MB	1.7 GB	10.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-indep_corr-0	583ms	210.1%	0.0%	5.1 MB	5.1 MB	89.6 MB	963ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-def_corr-0	607ms	185.2%	0.0%	5 MB	5 MB	89.5 MB	989ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-kipan	1.8s	134.5%	0.0%	81.3 MB	81.3 MB	1.2 GB	2.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-indep_corr-0.5	629ms	160.2%	0.0%	4.8 MB	4.8 MB	58.9 MB	1.1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-indep_corr-0.5	11.1s	97.1%	0.3%	623.3 MB	623.3 MB	1.7 GB	11.6s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-indep_corr-0	9.9s	98.2%	0.3%	658.8 MB	658.8 MB	1.8 GB	10.3s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-def_corr-0.5	10.7s	95.9%	0.3%	590.3 MB	590.3 MB	1.7 GB	11.1s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-thca	2.5s	135.3%	0.0%	81.3 MB	81.3 MB	1.2 GB	3s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-def_corr-0.5	11.5s	96.9%	0.3%	612.2 MB	612.2 MB	1.7 GB	12s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-blca	3.6s	133.8%	0.0%	81.2 MB	81.2 MB	1.2 GB	4.1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-def_corr-1	11.2s	95.7%	0.3%	621 MB	621 MB	1.7 GB	11.6s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-indep_corr-1	590ms	195.3%	0.0%	5.1 MB	5.1 MB	89.6 MB	983ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-thca	44.9s	97.6%	0.5%	998.1 MB	1.1 GB	2.2 GB	45.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-brca	1.7s	133.6%	0.0%	81 MB	81 MB	1.2 GB	2s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-indep_corr-0	11s	96.7%	0.3%	611.7 MB	611.7 MB	1.7 GB	11.8s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_p-200_j-3_beta-30_s-39	10.2s	96.7%	0.3%	606.4 MB	606.4 MB	1.7 GB	10.6s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-blca	1m 1s	97.7%	0.8%	1.5 GB	1.5 GB	2.7 GB	1m 1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-kipan	30.8s	97.6%	0.5%	990.8 MB	990.8 MB	2.1 GB	31.2s	512 MB
