"dataset","method","TP","TN","FP","FN","Sensitivity","Specificity","Precision","Accuracy","FPR","F1"
"GSE71669","demo_logit",4,9,10,10,0.285714285714286,0.473684210526316,0.285714285714286,0.393939393939394,0.526315789473684,0.285714285714286
"GSE71669","diablo-full",7,11,8,7,0.5,0.578947368421053,0.466666666666667,0.545454545454545,0.421052631578947,0.482758620689655
"GSE71669","diablo-null",13,11,8,1,0.928571428571429,0.578947368421053,0.619047619047619,0.727272727272727,0.421052631578947,0.742857142857143
"rosmap","demo_logit",120,104,65,62,0.659340659340659,0.615384615384615,0.648648648648649,0.638176638176638,0.384615384615385,0.653950953678474
"rosmap","diablo-full",121,120,49,61,0.664835164835165,0.710059171597633,0.711764705882353,0.686609686609687,0.289940828402367,0.6875
"rosmap","diablo-null",137,129,40,45,0.752747252747253,0.763313609467456,0.774011299435028,0.757834757834758,0.236686390532544,0.763231197771588
"sim-data_n-100_effect-2_sigma-def_corr-0","demo_logit",21,20,10,9,0.7,0.666666666666667,0.67741935483871,0.683333333333333,0.333333333333333,0.688524590163934
"sim-data_n-100_effect-2_sigma-def_corr-0","diablo-full",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-def_corr-0","diablo-null",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-def_corr-0.5","demo_logit",29,29,1,1,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.0333333333333333,0.966666666666667
"sim-data_n-100_effect-2_sigma-def_corr-0.5","diablo-full",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-def_corr-0.5","diablo-null",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-def_corr-1","demo_logit",20,22,8,10,0.666666666666667,0.733333333333333,0.714285714285714,0.7,0.266666666666667,0.689655172413793
"sim-data_n-100_effect-2_sigma-def_corr-1","diablo-full",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-def_corr-1","diablo-null",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-indep_corr-0","demo_logit",20,18,12,10,0.666666666666667,0.6,0.625,0.633333333333333,0.4,0.645161290322581
"sim-data_n-100_effect-2_sigma-indep_corr-0","diablo-full",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-indep_corr-0","diablo-null",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-indep_corr-0.5","demo_logit",30,29,1,0,1,0.966666666666667,0.967741935483871,0.983333333333333,0.0333333333333333,0.983606557377049
"sim-data_n-100_effect-2_sigma-indep_corr-0.5","diablo-full",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-indep_corr-0.5","diablo-null",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-indep_corr-1","demo_logit",16,20,10,14,0.533333333333333,0.666666666666667,0.615384615384615,0.6,0.333333333333333,0.571428571428572
"sim-data_n-100_effect-2_sigma-indep_corr-1","diablo-full",30,30,0,0,1,1,1,1,0,1
"sim-data_n-100_effect-2_sigma-indep_corr-1","diablo-null",30,30,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-0","demo_logit",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-0","diablo-full",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-0","diablo-null",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-0.5","demo_logit",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-0.5","diablo-full",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-0.5","diablo-null",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-1","demo_logit",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-1","diablo-full",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-def_corr-1","diablo-null",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-0","demo_logit",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-0","diablo-full",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-0","diablo-null",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-0.5","demo_logit",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-0.5","diablo-full",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-0.5","diablo-null",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-1","demo_logit",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-1","diablo-full",150,150,0,0,1,1,1,1,0,1
"sim-data_n-500_effect-2_sigma-indep_corr-1","diablo-null",150,150,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-def_corr-0","demo_logit",12,10,5,3,0.8,0.666666666666667,0.705882352941177,0.733333333333333,0.333333333333333,0.75
"sim-data_n-50_effect-2_sigma-def_corr-0","diablo-full",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-def_corr-0","diablo-null",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-def_corr-0.5","demo_logit",14,13,2,1,0.933333333333333,0.866666666666667,0.875,0.9,0.133333333333333,0.903225806451613
"sim-data_n-50_effect-2_sigma-def_corr-0.5","diablo-full",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-def_corr-0.5","diablo-null",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-def_corr-1","demo_logit",12,9,6,3,0.8,0.6,0.666666666666667,0.7,0.4,0.727272727272727
"sim-data_n-50_effect-2_sigma-def_corr-1","diablo-full",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-def_corr-1","diablo-null",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-indep_corr-0","demo_logit",12,12,3,3,0.8,0.8,0.8,0.8,0.2,0.8
"sim-data_n-50_effect-2_sigma-indep_corr-0","diablo-full",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-indep_corr-0","diablo-null",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-indep_corr-0.5","demo_logit",14,12,3,1,0.933333333333333,0.8,0.823529411764706,0.866666666666667,0.2,0.875
"sim-data_n-50_effect-2_sigma-indep_corr-0.5","diablo-full",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-indep_corr-0.5","diablo-null",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-indep_corr-1","demo_logit",13,15,0,2,0.866666666666667,1,1,0.933333333333333,0,0.928571428571429
"sim-data_n-50_effect-2_sigma-indep_corr-1","diablo-full",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_effect-2_sigma-indep_corr-1","diablo-null",15,15,0,0,1,1,1,1,0,1
"sim-data_n-50_p-200_j-3_beta-30_s-39","demo_logit",12,14,10,14,0.461538461538462,0.583333333333333,0.545454545454545,0.52,0.416666666666667,0.5
"sim-data_n-50_p-200_j-3_beta-30_s-39","diablo-full",14,14,10,12,0.538461538461538,0.583333333333333,0.583333333333333,0.56,0.416666666666667,0.56
"sim-data_n-50_p-200_j-3_beta-30_s-39","diablo-null",14,11,13,12,0.538461538461538,0.458333333333333,0.518518518518518,0.5,0.541666666666667,0.528301886792453
"tcga-blca","demo_logit",162,52,54,68,0.704347826086957,0.490566037735849,0.75,0.636904761904762,0.509433962264151,0.726457399103139
"tcga-blca","diablo-full",222,9,97,8,0.965217391304348,0.0849056603773585,0.695924764890282,0.6875,0.915094339622642,0.808743169398907
"tcga-blca","diablo-null",210,44,62,20,0.91304347826087,0.415094339622642,0.772058823529412,0.755952380952381,0.584905660377358,0.836653386454183
"tcga-brca","demo_logit",23,29,41,16,0.58974358974359,0.414285714285714,0.359375,0.477064220183486,0.585714285714286,0.446601941747573
"tcga-brca","diablo-full",0,70,0,39,0,1,NA,0.642201834862385,0,NA
"tcga-brca","diablo-null",7,52,18,32,0.179487179487179,0.742857142857143,0.28,0.541284403669725,0.257142857142857,0.21875
"tcga-kipan","demo_logit",35,38,21,29,0.546875,0.644067796610169,0.625,0.59349593495935,0.355932203389831,0.583333333333333
"tcga-kipan","diablo-full",43,46,13,21,0.671875,0.779661016949153,0.767857142857143,0.723577235772358,0.220338983050847,0.716666666666667
"tcga-kipan","diablo-null",39,42,17,25,0.609375,0.711864406779661,0.696428571428571,0.658536585365854,0.288135593220339,0.65
"tcga-thca","demo_logit",34,77,71,35,0.492753623188406,0.52027027027027,0.323809523809524,0.511520737327189,0.47972972972973,0.390804597701149
"tcga-thca","diablo-full",0,148,0,69,0,1,NA,0.682027649769585,0,NA
"tcga-thca","diablo-null",18,137,11,51,0.260869565217391,0.925675675675676,0.620689655172414,0.714285714285714,0.0743243243243243,0.36734693877551
