"dataset_name","omics_names","row_dimensions","col_dimensions","positive_prop","is_simulated"
"sim-data_n-50_p-200_j-3_beta-30_s-39","A_BLOCK,B_BLOCK,C_BLOCK","272,224,223","50,50,50",0.52,0
"sim-data_n-100_effect-2_sigma-indep_corr-0.5","methyl,expr,protein","367,131,160","60,60,60",0.5,0
"rosmap","epigenomics,genomics,transcriptomics","200,200,200","351,351,351",0.518518518518518,0
"sim-data_n-100_effect-2_sigma-def_corr-0","methyl,expr,protein","367,131,160","60,60,60",0.5,0
"sim-data_n-100_effect-2_sigma-def_corr-1","methyl,expr,protein","367,131,160","60,60,60",0.5,0
"sim-data_n-100_effect-2_sigma-indep_corr-1","methyl,expr,protein","367,131,160","60,60,60",0.5,0
"GSE71669","mrna,cpg,cc","19869,27237,45","33,33,33",0.424242424242424,0
"sim-data_n-100_effect-2_sigma-indep_corr-0","methyl,expr,protein","367,131,160","60,60,60",0.5,0
"sim-data_n-50_effect-2_sigma-def_corr-1","methyl,expr,protein","367,131,160","30,30,30",0.5,0
"sim-data_n-50_effect-2_sigma-def_corr-0","methyl,expr,protein","367,131,160","30,30,30",0.5,0
"sim-data_n-50_effect-2_sigma-def_corr-0.5","methyl,expr,protein","367,131,160","30,30,30",0.5,0
"sim-data_n-50_effect-2_sigma-indep_corr-1","methyl,expr,protein","367,131,160","30,30,30",0.5,0
"sim-data_n-50_effect-2_sigma-indep_corr-0.5","methyl,expr,protein","367,131,160","30,30,30",0.5,0
"sim-data_n-50_effect-2_sigma-indep_corr-0","methyl,expr,protein","367,131,160","30,30,30",0.5,0
"sim-data_n-500_effect-2_sigma-def_corr-0.5","methyl,expr,protein","367,131,160","300,300,300",0.5,0
"sim-data_n-500_effect-2_sigma-def_corr-1","methyl,expr,protein","367,131,160","300,300,300",0.5,0
"sim-data_n-500_effect-2_sigma-indep_corr-0","methyl,expr,protein","367,131,160","300,300,300",0.5,0
"sim-data_n-500_effect-2_sigma-def_corr-0","methyl,expr,protein","367,131,160","300,300,300",0.5,0
"sim-data_n-500_effect-2_sigma-indep_corr-0.5","methyl,expr,protein","367,131,160","300,300,300",0.5,0
"tcga-kipan","Methylation_Gene_level_HM450K,miRNA_GA_miRgene_level,RPPA_Gene_Level,RNAseq_HiSeq_Gene_level","20116,544,165,19202","123,123,123,123",0.520325203252033,0
"tcga-thca","Methylation_Gene_level_HM450K,miRNA_Gene_level,RPPA_Gene_Level,RNAseq_HiSeq_Gene_level","20118,651,134,18785","217,217,217,217",0.317972350230415,0
"sim-data_n-500_effect-2_sigma-indep_corr-1","methyl,expr,protein","367,131,160","300,300,300",0.5,0
"tcga-blca","Methylation_Gene_level_HM450K,miRNA_Gene_level,RPPA_Gene_Level,RNAseq_HiSeq_Gene_level","20109,675,155,19120","336,336,336,336",0.68452380952381,0
"tcga-brca","Methylation_Gene_level_HM450K,miRNA_GA_Gene_level,RPPA_Gene_level,RNAseq_HiSeq_Gene_level","20106,595,175,19125","109,109,109,109",0.357798165137615,0
"sim-data_n-100_effect-2_sigma-def_corr-0.5","methyl,expr,protein","367,131,160","60,60,60",0.5,0
